email,name,phone
student1@gmail.com,Nguyen Minh Nhat,9876654321
student2@gmail.com,Ngo Gia Huy,9876654321
student3@gmail.com,Ngo Long,9876654321
student4@gmail.com,Student Name 4,0987000000
student5@gmail.com,Student Name 5,0987000000
student6@gmail.com,Student Name 6,0987000000
student7@gmail.com,Student Name 7,0987000000
student8@gmail.com,Student Name 8,0987000000
student9@gmail.com,Student Name 9,0987000000
student10@gmail.com,Student Name 10,0987000001
student11@gmail.com,Student Name 11,0987000001
student12@gmail.com,Student Name 12,0987000001
student13@gmail.com,Student Name 13,0987000001
student14@gmail.com,Student Name 14,0987000001
student15@gmail.com,Student Name 15,0987000001
student16@gmail.com,Student Name 16,0987000001
student17@gmail.com,Student Name 17,0987000001
student18@gmail.com,Student Name 18,0987000001
student19@gmail.com,Student Name 19,0987000001
student20@gmail.com,Student Name 20,0987000002
student21@gmail.com,Student Name 21,0987000002
student22@gmail.com,Student Name 22,0987000002
student23@gmail.com,Student Name 23,0987000002
student24@gmail.com,Student Name 24,0987000002
student25@gmail.com,Student Name 25,0987000002
student26@gmail.com,Student Name 26,0987000002
student27@gmail.com,Student Name 27,0987000002
student28@gmail.com,Student Name 28,0987000002
student29@gmail.com,Student Name 29,0987000002
student30@gmail.com,Student Name 30,0987000003
student31@gmail.com,Student Name 31,0987000003
student32@gmail.com,Student Name 32,0987000003
student33@gmail.com,Student Name 33,0987000003
student34@gmail.com,Student Name 34,0987000003
student35@gmail.com,Student Name 35,0987000003
student36@gmail.com,Student Name 36,0987000003
student37@gmail.com,Student Name 37,0987000003
student38@gmail.com,Student Name 38,0987000003
student39@gmail.com,Student Name 39,0987000003
student40@gmail.com,Student Name 40,0987000004
student41@gmail.com,Student Name 41,0987000004
student42@gmail.com,Student Name 42,0987000004
student43@gmail.com,Student Name 43,0987000004
student44@gmail.com,Student Name 44,0987000004
student45@gmail.com,Student Name 45,0987000004
student46@gmail.com,Student Name 46,0987000004
student47@gmail.com,Student Name 47,0987000004
student48@gmail.com,Student Name 48,0987000004
student49@gmail.com,Student Name 49,0987000004
student50@gmail.com,Student Name 50,0987000005
